Difficulty,Time,Sum of HR,Hashrates,,,,,,,,,,,,
1379647.4392,9.6060,10280971322499.0000,1.64496E+12,,,,,,4.11239E+11,,9.59557E+11,7.26522E+12,,,
1379647.4392,9.1318,10814903946757.1000,6.84488E+11,,,,,68448759157,1.36898E+11,,1.64277E+12,8.21385E+12,,,68448759157
1379647.4392,10.3414,9549903142209.5700,9.06195E+11,,,,,,2.78829E+11,,1.11532E+12,7.24956E+12,,,
1379647.4392,10.5982,9318480361219.5800,1.21545E+12,,,,,1.3505E+11,4.05151E+11,,1.0804E+12,6.27985E+12,,,2.02576E+11
1379647.4392,10.4683,9434116849193.3700,9.85654E+11,,,,,1.40808E+11,70403857084,,1.12646E+12,7.11079E+12,,,
1379647.4392,10.5620,9350446607184.4500,1.15187E+12,,,,,67756859472,2.71027E+11,,1.21962E+12,6.64017E+12,,,
1379647.4392,9.5791,10309888577033.2000,1.35656E+12,,,,,1.35656E+11,1.35656E+11,,1.56005E+12,7.12196E+12,,,
1379647.4392,8.3960,11746109088743.6000,1.64858E+12,,,,,,3.43453E+11,,1.4425E+12,8.24288E+12,,,68690696425
1376302.2679,9.1218,10800409023848.0000,1.84564E+12,,,,,,2.73428E+11,,1.02536E+12,7.58763E+12,,,68357019138
1376302.2679,10.3302,9537007078129.0200,8.85579E+11,,,,,2.04364E+11,2.72486E+11,,9.53701E+11,7.22088E+12,,,
1376302.2679,11.1991,8797099095162.2500,6.13751E+11,,,,,2.04584E+11,68194566629,,1.36389E+12,6.54668E+12,,,
1376302.2679,9.0425,10895224524050.7000,8.90805E+11,,,,,1.37047E+11,2.74094E+11,,1.23342E+12,8.35986E+12,,,
1376302.2679,8.6774,11353567243767.8000,1.84666E+12,,,,,1.3679E+11,2.7358E+11,,1.64148E+12,7.24987E+12,,,2.05185E+11
1376302.2679,9.6657,10192739480707.4000,1.09452E+12,,,,,1.36815E+11,2.73631E+11,,1.23134E+12,7.38803E+12,,,68407647522
1376302.2679,8.6056,11448366488023.2000,1.11014E+12,,,,,69384039321,1.38768E+11,,1.38768E+12,8.74239E+12,,,
1376302.2679,9.7461,10108601544746.0000,1.34781E+12,,,,,1.34781E+11,2.69563E+11,,1.54999E+12,6.73907E+12,,,67390676965
1376302.2679,9.2845,10611158510034.2000,1.44698E+12,,,,,1.37807E+11,1.37807E+11,,1.03355E+12,7.78611E+12,,,68903626689
1376302.2679,9.0505,10885512076851.2000,1.02052E+12,,,,,68034450480,5.44276E+11,,1.22462E+12,7.96003E+12,,,68034450480
