Difficulty,Time,Sum,Hashrates,,,,,,,,,,,,,
1931136454487.7200,9.2134,14937801776671600000.0000,3.42523E+18,,2.47378E+18,5.70871E+17,1.9029E+17,4.75726E+17,,,9.51452E+17,1.61747E+18,3.13979E+18,1.52232E+18,,5.70871E+17
1931136454487.7200,8.4062,16444470754795700000.0000,2.40416E+18,,3.46199E+18,1.92333E+17,1.92333E+17,1.92333E+17,,,9.61665E+17,2.0195E+18,4.61599E+18,1.82716E+18,,5.76999E+17
1931136454487.7200,9.2310,14975210023847500000.0000,2.95689E+18,,1.7169E+18,1.90767E+17,1.90767E+17,4.76918E+17,,,1.23999E+18,1.04922E+18,4.48302E+18,1.90767E+18,,7.63068E+17
1931136454487.7200,8.5683,16133524105122300000.0000,4.12941E+18,,2.49685E+18,3.84132E+17,3.84132E+17,9.60329E+16,,,8.64296E+17,1.34446E+18,3.93735E+18,1.53653E+18,,9.60329E+17
1931136454487.7200,10.0725,13724121311792800000.0000,2.30335E+18,,2.49529E+18,2.87919E+17,1.91946E+17,9.59729E+16,,,2.87919E+17,1.63154E+18,4.41475E+18,1.34362E+18,,6.7181E+17
1931136454487.7200,8.5312,16203691070437500000.0000,2.70062E+18,,2.70062E+18,,2.89352E+17,4.82253E+17,,,8.68055E+17,1.73611E+18,5.01543E+18,1.83256E+18,,5.78703E+17
1931136454487.7200,8.8871,15554625359322700000.0000,1.63228E+18,,2.40041E+18,6.72113E+17,2.88049E+17,3.84065E+17,,,3.84065E+17,2.01634E+18,4.80081E+18,2.01634E+18,,9.60162E+17
1931136454487.7200,8.6807,15924495420760200000.0000,3.35757E+18,,2.4942E+18,2.87792E+17,2.87792E+17,1.91861E+17,,,8.63376E+17,1.53489E+18,4.02909E+18,1.72675E+18,,1.15117E+18
1931136454487.7200,8.7697,15762898211308500000.0000,3.26792E+18,,1.82619E+18,2.88346E+17,1.9223E+17,9.61152E+16,,,7.68922E+17,2.11454E+18,4.61353E+18,1.53784E+18,,1.05727E+18
1931136454487.7200,8.6742,15936476347924400000.0000,2.88009E+18,,2.01606E+18,2.88009E+17,2.88009E+17,7.68023E+17,,,1.44004E+18,1.34404E+18,5.37616E+18,1.44004E+18,,9.60029E+16
1931136454487.7200,7.4850,18468485022551300000.0000,3.63628E+18,,2.10522E+18,7.65533E+17,,5.7415E+17,,,7.65533E+17,1.53107E+18,5.64581E+18,2.39229E+18,,1.05261E+18
1931136454487.7200,8.1067,17051996870785200000.0000,3.54452E+18,,2.29915E+18,1.91595E+17,1.91595E+17,3.83191E+17,,,1.05378E+18,1.62856E+18,5.46047E+18,1.82016E+18,,4.78989E+17
2227847638503.6300,9.6178,15884724100561400000.0000,2.77183E+18,,2.23879E+18,2.13218E+17,3.19827E+17,2.13218E+17,,,7.46262E+17,1.1727E+18,4.15775E+18,2.87844E+18,,1.1727E+18
2227847638503.6300,9.1726,17386115420148900000.0000,3.47722E+18,,1.57036E+18,3.36505E+17,,1.12168E+17,,,1.23385E+18,1.90686E+18,5.04758E+18,2.46771E+18,,1.23385E+18
2227847638503.6300,9.6803,16474179174002100000.0000,2.7457E+18,,1.53759E+18,4.39311E+17,,4.39311E+17,,,9.88451E+17,2.19656E+18,5.27174E+18,2.19656E+18,,6.58967E+17
2227847638503.6300,9.1221,17482294822260000000.0000,3.29855E+18,,1.75922E+18,2.19903E+17,1.09952E+17,4.39806E+17,,,1.20947E+18,1.53932E+18,4.94782E+18,2.85874E+18,,1.09952E+18
2227847638503.6300,8.5900,18565212483617600000.0000,3.44624E+18,,3.00156E+18,5.55845E+17,2.22338E+17,2.22338E+17,,,1.11169E+18,2.00104E+18,5.22494E+18,1.7787E+18,,1.00052E+18
2227847638503.6300,8.2988,19216597773176800000.0000,2.88804E+18,,2.77696E+18,5.55393E+17,4.44314E+17,2.22157E+17,,,5.55393E+17,2.88804E+18,5.99824E+18,2.44373E+18,,4.44314E+17
2227847638503.6300,8.8011,18119933242981800000.0000,3.62399E+18,,2.30617E+18,3.29453E+17,2.19636E+17,4.39271E+17,,,1.208E+18,2.85526E+18,4.61235E+18,2.08654E+18,,4.39271E+17
2227847638503.6300,8.0828,19730304771746100000.0000,4.32293E+18,,2.32773E+18,6.65066E+17,3.32533E+17,4.43378E+17,,,6.65066E+17,1.77351E+18,6.20729E+18,2.10604E+18,,8.86755E+17
2227847638503.6300,7.6734,20782796225687700000.0000,4.33438E+18,,3.00072E+18,6.66828E+17,5.5569E+17,3.33414E+17,,,1.00024E+18,1.55593E+18,6.11259E+18,2.44503E+18,,7.77966E+17
2227847638503.6300,8.5089,18742243855662500000.0000,4.04024E+18,,2.35681E+18,3.36687E+17,2.24458E+17,,,,8.97832E+17,2.02012E+18,5.61145E+18,2.46904E+18,,7.85603E+17
2227847638503.6300,8.2840,19251049108488300000.0000,3.58918E+18,,1.52268E+18,3.26289E+17,2.17526E+17,5.43815E+17,,,8.70104E+17,2.17526E+18,5.98196E+18,2.50155E+18,,1.52268E+18
2227847638503.6300,8.1412,19588719028748400000.0000,4.00678E+18,,1.78079E+18,3.33899E+17,1.113E+17,5.56498E+17,,,1.113E+18,1.89209E+18,7.01187E+18,1.66949E+18,,1.113E+18
2603077300218.5900,9.0479,19467028335669500000.0000,3.94269E+18,,1.72493E+18,8.62463E+17,2.46418E+17,4.92836E+17,,,8.62463E+17,2.83381E+18,5.05157E+18,2.58739E+18,,8.62463E+17
